,Inflow,Inflow,Treated,Treated,OverflowVolume,OverflowVolume,RetentionVolume
,mean,max,mean,max,sum,max,max
Month,,,,,,,
April,988.0213463822879,2532.103078223849,988.0213463822879,2200.0,0.0,0.0,644.2072660858007
August,1006.5428271941122,2578.695300958705,1006.5428271941122,2200.0,0.0,0.0,721.7952856169413
February,948.247091153122,2528.063651425129,948.247091153122,2200.0,0.0,0.0,649.5315481114285
October,1227.802848481494,2734.526603293663,1226.2285950554297,2200.0,0.0,0.0,1000.0
September,1049.4829327385935,2627.120586152164,1049.4829327385935,2200.0,0.0,0.0,835.5835894011043
