,Inflow,Inflow,Inflow,Treated,Treated,OverflowVolume,OverflowVolume,OverflowVolume,RetentionVolume,RetentionVolume
,mean,max,std,mean,max,sum,max,mean,max,mean
Month,,,,,,,,,,
April,988.0213463822879,2532.103078223849,434.23029215224494,988.0213463822879,2200.0,0.0,0.0,0.0,644.2072660858007,21.032163951720275
August,1006.5428271941122,2578.695300958705,447.814039260967,1006.5428271941122,2200.0,0.0,0.0,0.0,721.7952856169413,25.234981126242925
February,948.247091153122,2528.063651425129,416.82545238273934,948.247091153122,2200.0,0.0,0.0,0.0,649.5315481114285,19.22353287129374
October,1227.802848481494,2734.526603293663,423.9218129358592,1226.2285950554297,2200.0,0.0,0.0,0.0,1000.0,60.16741909964604
September,1049.4829327385935,2627.120586152164,433.7193410008319,1049.4829327385935,2200.0,0.0,0.0,0.0,835.5835894011043,36.28797200133023
