,Inflow,Inflow,Treated,Treated,OverflowVolume,OverflowVolume,RetentionVolume
,mean,max,mean,max,sum,max,max
Month,,,,,,,
April,1022.5863456793812,1645.80075743521,1022.5863456793812,1645.80075743521,0.0,0.0,0.0
August,1060.4288441879228,1592.5309373336254,1060.4288441879228,1592.5309373336254,0.0,0.0,0.0
February,995.2394566338252,1618.0939712708168,995.2394566338252,1618.0939712708168,0.0,0.0,0.0
October,1293.2336354167796,1857.9934321799608,1293.2336354167796,1857.9934321799608,0.0,0.0,0.0
September,1104.5263600683109,1744.5268848972644,1104.5263600683109,1744.5268848972644,0.0,0.0,0.0
