,Inflow,Inflow,Inflow,Treated,Treated,OverflowVolume,OverflowVolume,OverflowVolume,RetentionVolume,RetentionVolume
,mean,max,std,mean,max,sum,max,mean,max,mean
Month,,,,,,,,,,
April,1022.5863456793812,1645.80075743521,298.37970971403297,1022.5863456793812,1645.80075743521,0.0,0.0,0.0,0.0,0.0
August,1060.4288441879228,1592.5309373336254,295.93738439678714,1060.4288441879228,1592.5309373336254,0.0,0.0,0.0,0.0,0.0
February,995.2394566338252,1618.0939712708168,287.55906714274755,995.2394566338252,1618.0939712708168,0.0,0.0,0.0,0.0,0.0
October,1293.2336354167796,1857.9934321799608,294.51585718524075,1293.2336354167796,1857.9934321799608,0.0,0.0,0.0,0.0,0.0
September,1104.5263600683109,1744.5268848972644,293.0331884928498,1104.5263600683109,1744.5268848972644,0.0,0.0,0.0,0.0,0.0
