,Inflow,Inflow,Treated,Treated,OverflowVolume,OverflowVolume,RetentionVolume
,mean,max,mean,max,sum,max,max
Month,,,,,,,
April,1767.4663983629641,2862.1594400282784,1750.1616517487735,2200.0,0.0,0.0,1000.0
August,1790.6266641940117,2960.835085892797,1768.679394752053,2200.0,0.0,0.0,1000.0
February,1739.3430996145032,2835.320320472638,1724.754562463774,2200.0,0.0,0.0,1000.0
October,1992.551874724291,3113.139505544446,1911.2388782493506,2200.0,0.0,0.0,1000.0
September,1798.5718686038779,2906.393006084468,1772.712267788938,2200.0,0.0,0.0,1000.0
