,Inflow,Inflow,Inflow,Treated,Treated,OverflowVolume,OverflowVolume,OverflowVolume,RetentionVolume,RetentionVolume
,mean,max,std,mean,max,sum,max,mean,max,mean
Month,,,,,,,,,,
April,1767.4663983629641,2862.1594400282784,511.92963385817075,1750.1616517487735,2200.0,0.0,0.0,0.0,1000.0,196.52868257373595
August,1790.6266641940117,2960.835085892797,517.1095820724584,1768.679394752053,2200.0,0.0,0.0,0.0,1000.0,229.6196973313798
February,1739.3430996145032,2835.320320472638,503.2591324378357,1724.754562463774,2200.0,0.0,0.0,0.0,1000.0,162.65981046459567
October,1992.551874724291,3113.139505544446,507.53251372255744,1911.2388782493506,2200.0,0.0,0.0,0.0,1000.0,512.0843848702569
September,1798.5718686038779,2906.393006084468,523.9356083557495,1772.712267788938,2200.0,0.0,0.0,0.0,1000.0,244.94617073665006
