,TotalFlow,OverflowActive,Inflow,Treated,Retained,Released,RetentionVolume,PlantStatus,KP26_Split,OverflowVolume,KP1_Flow,KP2_Flow,KP4_Flow,KP6_Flow,KP7_Flow,KP8_Flow,KP9_Flow,KP10_Flow,KP11_Flow,KP16_Flow,KP25_Flow,G-T1_Flow,ŁPA-P1_Flow,LBT1_Flow,M1_Flow
0,1034.7850938956901,0,1034.7850938956901,1034.7850938956901,0.0,0.0,0.0,NORMAL,0.0,0.0,5.383819815824492,197.2473788149456,8.573316213780691,86.67753224219403,27.876309688340612,114.8186892157722,0.7992853254943342,9.773419476744241,25.68509462642185,147.04125100967812,1.3929594659512614,63.789378965338905,0.16871961553362474,13.045942764134258,1089.2474672586213
1,896.723870698117,0,896.723870698117,896.723870698117,0.0,0.0,0.0,NORMAL,0.0,0.0,3.300190771221275,179.73244369876545,8.117788981431765,83.63986904316944,27.33794922066326,98.23150844052226,0.5915825627249133,7.903036391839435,17.584508700391453,137.046831484627,2.2310540378421604,58.06706490725282,0.4111924819290061,9.911993122164505,943.9198638927548
2,767.886098540746,0,767.886098540746,767.886098540746,0.0,0.0,0.0,NORMAL,0.0,0.0,2.8506332651030353,166.55628967691558,7.861075664324354,61.592803464440806,27.06429975143129,70.41243065472653,0.6779295552182231,6.7048118668009495,14.340759925518329,128.94977411196157,1.3780661311009637,47.3502885720015,0.5392324659265271,8.070560408139137,808.3011563586801
3,654.5295501935319,0,654.5295501935319,654.5295501935319,0.0,0.0,0.0,NORMAL,0.0,0.0,2.484256093973431,149.17254736424732,8.11619929711201,48.2262776485077,25.936840155226687,52.0838402882103,0.7565141731632754,7.19284673623097,11.961462012607221,116.19336278660839,1.5712017156351037,41.791663122350144,0.6075705015114992,7.096514474377878,688.9784738879283
4,648.6387236313498,0,648.6387236313498,648.6387236313498,0.0,0.0,0.0,NORMAL,0.0,0.0,2.702237842956429,135.75604992410155,7.6070730997060965,47.31627411977802,26.615953967487712,58.896563714635036,0.5263181301292071,6.942921990476775,10.628815102410785,112.60509670004144,0.4920899622203823,48.3779903925265,0.47025811494462816,7.160010803678692,682.7776038224735
5,645.979967273191,0,645.979967273191,645.979967273191,0.0,0.0,0.0,NORMAL,0.0,0.0,3.288154232309907,131.24850565617683,7.832382716453993,46.727914530010246,25.55821675124171,60.885670844148734,0.4571233068047524,7.289476445974445,10.84120342390251,106.1619017318592,2.595085014299376,44.152465128949075,0.42870006455462945,8.831423500002881,679.9789129191485
6,647.8928548835338,0,647.8928548835338,647.8928548835338,0.0,0.0,0.0,NORMAL,0.0,0.0,4.8948554813186345,125.92057904268498,8.072779770995641,46.2862485614094,26.33821415060478,64.99502587497197,0.7251764007842956,7.444401197991722,13.458202474582098,106.27106681808232,1.7951348957454876,48.44770899581218,0.5301847906059566,11.564006742942015,681.9924788247724
7,759.608095482278,0,759.608095482278,759.608095482278,0.0,0.0,0.0,NORMAL,0.0,0.0,6.212196075976295,137.54180115487168,9.987896521328302,53.519882347602845,27.56373458430061,83.4532023093223,0.9391593547869563,7.915808742992997,17.36358193521386,116.67167172109833,2.419613632493437,49.59885078333468,0.46090883056726334,15.325333297130026,799.5874689287137
8,913.4423075267763,0,913.4423075267763,913.4423075267763,0.0,0.0,0.0,NORMAL,0.0,0.0,7.474259382535758,151.19404108305207,11.790546896825138,71.47158008258687,32.35391062655156,104.75284843054298,1.1256475098401082,10.049604315408965,26.149421842068858,131.7734545193538,4.1915402950284095,61.945184303209956,0.5114995071955472,17.81966182237753,961.5182184492382
9,1038.057626004692,0,1038.057626004692,1038.057626004692,0.0,0.0,0.0,NORMAL,0.0,0.0,8.867984152792435,167.33251289043602,11.079965268072245,85.98469315379647,33.18256035241737,124.3190962008744,1.6998917017378292,10.899417914750089,36.788034772171514,142.1306807523595,3.306805131999333,64.42997289843352,0.6494553194257459,18.631029146642778,1092.692237899676
10,1167.56673223283,0,1167.56673223283,1167.56673223283,0.0,0.0,0.0,NORMAL,0.0,0.0,9.78235604452912,199.8576531754404,11.812303280115577,100.65020356505019,36.548987285071945,145.08476721875525,1.7848929702236256,13.644773896738585,34.59343490678639,162.5978646714787,4.504683339574805,68.57529404050537,1.9902499035394134,18.495440931712583,1229.0176128766632
11,1179.9925665391554,0,1179.9925665391554,1179.9925665391554,0.0,0.0,0.0,NORMAL,0.0,0.0,10.32288548001444,214.69180080893273,12.58477067156911,98.56228464451443,38.30009168983648,149.35953555113156,2.4691783541655643,15.460905276323171,33.56657060284318,175.56557579668572,5.383742419619636,72.77068552567187,2.4703933459274783,18.786548787435525,1242.0974384622689
12,1215.2662484210687,0,1215.2662484210687,1215.2662484210687,0.0,0.0,0.0,NORMAL,0.0,0.0,10.553724201652964,215.7903388012067,12.091026468869641,101.99169680590144,36.628165891726205,150.31659194519727,2.8064755233875536,14.598025372331568,34.23251715938841,172.79737751083587,5.531192431819161,74.72927508677115,2.722127867512401,18.607081098364883,1279.2276299169143
13,1151.8446033579944,0,1151.8446033579944,1151.8446033579944,0.0,0.0,0.0,NORMAL,0.0,0.0,10.218274412601987,209.45438446988027,11.682859786916595,104.60137589728768,38.22083052951052,136.6134983372041,2.8682694852389643,13.687074796664932,33.12093496276485,158.96642716443512,5.316574538306998,80.17161207954145,2.716006312686323,19.39509364348583,1212.468003534731
14,1185.448338140886,0,1185.448338140886,1185.448338140886,0.0,0.0,0.0,NORMAL,0.0,0.0,10.341082182944032,205.3237468002942,12.606074494461783,99.02531930389839,36.568829567933115,135.3847527685403,3.459837758973778,16.436544701036432,32.05511001502742,160.6841648926308,5.830583527467959,86.93861241958437,3.3702104506849255,19.149404854820258,1247.8403559377748
15,1227.8132786870867,0,1227.8132786870867,1227.8132786870867,0.0,0.0,0.0,NORMAL,0.0,0.0,10.436675773975361,207.0327327193416,13.367576373110674,95.22439009768472,38.35620864573279,146.25603620616468,3.757961545412867,16.310471324241195,31.687684285202224,151.3740717899567,5.726406565120364,83.92016765013264,3.862822895644344,18.860000530801113,1292.4350301969334
16,1236.3810494994602,0,1236.3810494994602,1236.3810494994602,0.0,0.0,0.0,NORMAL,0.0,0.0,11.172276036753402,200.88158961901047,13.793979784563668,95.47635303650397,39.26883104643484,139.0037609979842,3.630559607599661,16.860437451458797,31.92346135820405,148.33268711400373,6.2221828103245995,75.37351749157209,4.066958982600292,19.278975783285144,1301.4537363152212
17,1225.5998979563944,0,1225.5998979563944,1225.5998979563944,0.0,0.0,0.0,NORMAL,0.0,0.0,11.657803544949052,197.2868196694793,14.54321879298978,83.50021246970775,41.31143234677062,138.70369744453856,4.012621706214756,15.4901270868467,29.393638802320137,148.36110979581454,5.8668136895265715,68.38965261815338,4.502511591506644,19.09476844147391,1290.105155743573
18,1224.8947034384296,0,1224.8947034384296,1224.8947034384296,0.0,0.0,0.0,NORMAL,0.0,0.0,11.918326999291455,195.0724995110135,16.00978829070051,85.09557574874924,40.850839506910724,126.94120840825184,3.9116133598402896,16.495356692269176,31.839684151729227,148.89025893280933,6.1869015722555964,72.13673175521421,4.703492721139732,20.139590075775125,1289.3628457246627
19,1281.004027478551,0,1281.004027478551,1281.004027478551,0.0,0.0,0.0,NORMAL,0.0,0.0,12.155758044596016,181.7976077020383,16.659041529793743,78.73511405105798,39.95661425663353,137.19590602294647,4.282862029259701,15.219902876510288,34.129216875389616,137.19324741940397,6.282636043311859,77.0383725734368,4.105147263795287,22.1994548750671,1348.4252920826855
20,1416.7418804244896,0,1416.7418804244896,1416.7418804244896,0.0,0.0,0.0,NORMAL,0.0,0.0,14.36865419480235,188.39713372866822,18.73216743195941,84.72563908346591,39.63651231681591,152.48050480601293,4.239298385354961,17.44952805548514,43.14235039563695,148.1804940745296,6.14109749071367,75.02381101234523,3.790759040834855,24.100673483849572,1491.3072425520945
21,1473.9236784607544,0,1473.9236784607544,1473.9236784607544,0.0,0.0,0.0,NORMAL,0.0,0.0,14.479823908708433,205.18140392139753,17.014613632294466,94.02545280933151,38.21634366829983,181.7592732072087,3.973263891500016,18.352117310686538,49.90584699641134,162.72708163902598,5.159079645809873,93.61817663826801,3.7294792599647826,24.75186804381833,1551.4986089060574
22,1445.9561459293218,0,1445.9561459293218,1445.9561459293218,0.0,0.0,0.0,NORMAL,0.0,0.0,13.184395583271787,219.23046385347533,15.444209175012086,95.56599188059181,39.37434736984584,187.73326359293017,3.7388100234949926,18.702801680081098,48.607393224367925,173.90007679053198,5.129903775801768,91.0114646457968,3.665112106346276,22.506088725060362,1522.0591009782336
23,1345.8428666941418,0,1345.8428666941418,1345.8428666941418,0.0,0.0,0.0,NORMAL,0.0,0.0,10.784042295901907,217.2455851176338,13.47138021594408,92.8196805782464,34.549913303037634,164.2822262748743,2.930557867727107,14.966071241796392,36.97224305484652,160.69798864280727,3.083040188644175,88.98856119103363,3.307715173141461,20.66343949828054,1416.6767017833072
24,1196.1151477484211,0,1196.1151477484211,1196.1151477484211,0.0,0.0,0.0,NORMAL,0.0,0.0,7.744738569347971,205.3447587351819,10.856232028152304,85.92069573397687,32.06218022237995,138.03814487309478,2.5105129159886577,11.868778776627208,28.348787470140568,148.53633260315692,4.329268567831398,84.99872915098125,3.412986251681941,15.251907142758375,1259.0685765772855
25,1016.5957221591259,0,1016.5957221591259,1016.5957221591259,0.0,0.0,0.0,NORMAL,0.0,0.0,5.230551396259065,177.5155734160642,10.492621914040756,87.43540667431546,28.327181765004813,114.63788975919103,2.072817690646289,9.908884347078235,20.990588092510144,123.1027126235843,4.294581316275327,76.28140739039674,3.2665937374842446,11.881528990166496,1070.100760167501
26,806.6279709451617,0,806.6279709451617,806.6279709451617,0.0,0.0,0.0,NORMAL,0.0,0.0,4.365638061028855,163.38152781409474,10.362048808197805,64.4898976037514,28.673431609507,86.18740954608003,1.833763442920311,8.272407585640108,16.524008598094944,116.75930694294759,3.0475532844712236,64.32178540870612,2.852268736949763,10.152341132597503,849.0820746791176
27,699.9736422089067,0,699.9736422089067,699.9736422089067,0.0,0.0,0.0,NORMAL,0.0,0.0,4.054878581266205,158.03835659674894,9.297808378116038,51.417669509386144,28.581628610199555,67.20875148523724,1.6328212787590535,8.864620650457804,14.815313362791894,111.63570618001826,2.9100080278903895,55.493596031520916,2.4919777933072242,8.441607832864904,736.8143602199018
28,691.1247399184122,0,691.1247399184122,691.1247399184122,0.0,0.0,0.0,NORMAL,0.0,0.0,4.1648857775691654,152.96125359452702,8.392343229434335,48.84550753893704,29.337634667847155,68.67563732044133,1.2884885837339302,8.086615193574984,11.232222224699083,113.78534949301782,1.8544161580491316,60.203386191652214,2.3555434227897396,8.015146348567288,727.4997262299075
29,683.6333695172239,0,683.6333695172239,683.6333695172239,0.0,0.0,0.0,NORMAL,0.0,0.0,4.516079623229817,147.73253645968987,8.928681187417023,44.45760618107653,30.070494066516858,61.38413718121855,1.3111631470239868,7.064460799643542,12.55616658270355,109.79471485897494,3.8692635694471242,58.73540001687215,2.0998465775426722,8.526996530173218,719.6140731760252
30,760.0534584706012,0,760.0534584706012,760.0534584706012,0.0,0.0,0.0,NORMAL,0.0,0.0,5.7884259071949264,149.68985701810712,10.133669645927895,49.52286675885401,35.73476200617231,73.10378605469847,1.8421684701321863,9.113217869695347,14.945069891090856,118.2279912061771,4.308064664406068,58.091141024906065,3.13941541990098,12.371526684160212,800.0562720743171
31,857.5557140953061,0,857.5557140953061,857.5557140953061,0.0,0.0,0.0,NORMAL,0.0,0.0,7.814533605705358,162.18989640899372,12.510913579772142,58.34384946564132,33.51656160308718,92.66714931318126,2.291929177381342,9.749442978126423,19.771344957187814,129.74897455266583,5.442074021022803,60.151822490923344,3.4463406935061416,14.633722214814625,902.6902253634802
32,994.3987071068286,0,994.3987071068286,994.3987071068286,0.0,0.0,0.0,NORMAL,0.0,0.0,8.54800023372204,169.1118666364716,12.816007102368973,69.58616178634357,36.37900130639948,115.96614373889398,2.611963783394905,11.976264859727527,29.1294586349228,139.11286080374214,7.261204145825838,79.09353250452091,3.609470614160107,19.05548355533759,1046.7354811650828
33,1119.999047664208,0,1119.999047664208,1119.999047664208,0.0,0.0,0.0,NORMAL,0.0,0.0,9.987871842074028,188.55028354136925,13.127777933871648,78.11568981915346,34.4526798331452,132.37105263146378,3.3894547652601057,12.32446813259248,35.35019792352897,152.21397061773865,6.872343326679177,83.18762013953568,4.183309133265291,19.13635212195556,1178.9463659623243
34,1198.0309810662247,0,1198.0309810662247,1198.0309810662247,0.0,0.0,0.0,NORMAL,0.0,0.0,10.207269319392301,197.2405334997957,13.128795002042045,84.73746189489412,35.06079750727923,158.3713282697612,3.012326659744168,15.306270642462266,38.666119322508116,152.90390225976796,6.966527462624335,86.92740677237599,4.3449882553144334,19.035039402029927,1261.0852432276051
35,1079.82866838718,0,1079.82866838718,1079.82866838718,0.0,0.0,0.0,NORMAL,0.0,0.0,10.287494356795126,199.20982798394184,12.809500506343316,80.53646450631493,37.17397878026729,156.13662733738562,3.573095528896577,16.882266502215426,41.27049190734911,156.56696392117107,6.357000653847042,81.55216400480614,3.784300701615314,18.675932551702008,1136.6617561970315
36,1105.2736817165153,0,1105.2736817165153,1105.2736817165153,0.0,0.0,0.0,NORMAL,0.0,0.0,9.685892043519807,206.4576132966278,11.605320668196331,85.59068354842319,39.01121669247687,150.4752281756607,3.5677431607797443,16.92097305906058,40.06589181535784,163.02175605507858,5.904734515121322,77.48046123208648,3.4178539240378214,19.494927500919353,1163.4459807542266
37,1091.3900929556532,0,1091.3900929556532,1091.3900929556532,0.0,0.0,0.0,NORMAL,0.0,0.0,9.918462848202786,222.88819130893984,11.462519342382905,83.80634337307912,40.93523720348901,148.58562918693684,3.201325880540273,17.29284358225211,37.416019660945054,179.5059562276698,5.700879959645071,74.35564150312241,3.4842346350482805,20.517058438535305,1148.8316767954245
38,1177.4758684262204,0,1177.4758684262204,1177.4758684262204,0.0,0.0,0.0,NORMAL,0.0,0.0,10.291923092188647,216.74339651150126,9.977672284821457,90.69179185741929,41.676224743547905,137.99603420241323,3.701076251649871,16.12744809686652,36.478544449990146,179.2669488180781,6.026684223478992,78.26843932737077,3.4895788489328132,20.175579188820194,1239.4482825539162
39,1165.1762050886277,0,1165.1762050886277,1165.1762050886277,0.0,0.0,0.0,NORMAL,0.0,0.0,10.05832451374135,216.79682772612108,11.226821265376326,84.65987184141508,40.41977455121947,132.1722918904996,3.6427524841390366,16.1598669316903,37.07855567529711,168.1853528175974,6.153262550254312,83.4855796968538,3.625814929953169,19.88118179928024,1226.5012685143452
40,1125.4823296871778,0,1125.4823296871778,1125.4823296871778,0.0,0.0,0.0,NORMAL,0.0,0.0,9.204734478778711,210.12835162559725,11.323191496518394,86.76948219672815,42.134530459574655,122.69023690759671,3.389949481434178,16.790669254187087,37.439701028264636,165.63767585890486,5.762072427050999,73.40303778152423,3.2350779944244596,17.743032425982133,1184.7182417759766
41,1120.9318849300878,0,1120.9318849300878,1120.9318849300878,0.0,0.0,0.0,NORMAL,0.0,0.0,9.217326654875572,203.25725569695086,12.225004469509548,88.67906769129888,41.02339168858977,123.31434023190056,3.4260516185327905,15.654132980921844,34.48044174199431,160.10865138308776,5.26407328095249,68.92987601072005,3.2842861151947753,18.76614278684766,1179.9282999264083
