,Inflow,Inflow,Treated,Treated,OverflowVolume,OverflowVolume,RetentionVolume
,mean,max,mean,max,sum,max,max
Month,,,,,,,
April,802.5228069480162,1236.463376467334,802.5228069480162,1236.463376467334,0.0,0.0,0.0
August,823.4809364347831,1227.1280298876682,823.4809364347831,1227.1280298876682,0.0,0.0,0.0
February,756.9261229625971,1106.9546042505872,756.9261229625971,1106.9546042505872,0.0,0.0,0.0
October,1050.4508319884897,1475.4693739391666,1050.4508319884897,1475.4693739391666,0.0,0.0,0.0
September,850.3179363474259,1227.0173180017484,850.3179363474259,1227.0173180017484,0.0,0.0,0.0
