,Inflow,Inflow,Inflow,Treated,Treated,OverflowVolume,OverflowVolume,OverflowVolume,RetentionVolume,RetentionVolume
,mean,max,std,mean,max,sum,max,mean,max,mean
Month,,,,,,,,,,
April,802.5228069480162,1236.463376467334,242.15372825180296,802.5228069480162,1236.463376467334,0.0,0.0,0.0,0.0,0.0
August,823.4809364347831,1227.1280298876682,230.42991225481268,823.4809364347831,1227.1280298876682,0.0,0.0,0.0,0.0,0.0
February,756.9261229625971,1106.9546042505872,209.26130993955377,756.9261229625971,1106.9546042505872,0.0,0.0,0.0,0.0,0.0
October,1050.4508319884897,1475.4693739391666,231.48793586840304,1050.4508319884897,1475.4693739391666,0.0,0.0,0.0,0.0,0.0
September,850.3179363474259,1227.0173180017484,224.12276640304154,850.3179363474259,1227.0173180017484,0.0,0.0,0.0,0.0,0.0
