,Średni przepływ [m³/h]
KP2,146.03918163085075
KP1,6.5308554234130956
KP4,9.22956615120275
KP6,73.32501433897332
KP8,91.25224084177708
KP11,28.052612870861402
G-T1,52.15079547083273
KP7,19.699181244622885
KP9,0.8805904270564632
KP10,8.91533591731266
KP16,109.98233438485805
KP25,456.21131482006234
LBT1,402.74079498765377
M1,377.95693190797846
