Godzina,KP2,KP1,KP4,KP6,KP8,KP11,G-T1,KP7,KP9,KP10,ŁPA-P1,KP16,LBT1,M1,KP25
1,153.19505300353356,3.8753264604810997,7.180999999999999,75.556735395189,67.0322429906542,18.579278350515462,46.11182130584193,15.811821305841924,0.5209278350515464,6.231034482758621,0.1438487972508591,108.51730103806229,405.01641137522404,380.87237391872475,0.9762671232876706
2,134.71696750902527,3.0877543859649124,6.849122807017544,57.998556338028166,48.10913461538462,13.565157894736842,38.60901408450704,14.314070175438598,0.362140350877193,4.824260563380282,0.12399999999999999,94.44421052631579,403.1541229587372,376.8658269646396,0.3748972602739726
3,119.28007246376812,2.774295774647887,6.622394366197183,46.6312676056338,39.643961352657,11.132464788732394,34.7391519434629,13.912288732394368,0.34637323943661974,4.218758865248227,0.08929577464788732,83.34014084507042,404.1972003298107,375.46945442206504,0.39267123287671385
4,106.46606498194946,2.6403859649122805,6.378245614035087,40.90919298245614,33.40528846153846,9.83056338028169,33.84084507042253,13.56719298245614,0.30087719298245613,3.8967957746478876,0.16905263157894737,74.6378947368421,404.32753103375904,378.97285169764797,0.11522184300341243
5,97.2236559139785,2.8137979094076653,6.7040625,38.892857142857146,31.47952380952381,10.01205574912892,33.85793706293707,13.886306620209059,0.31069686411149827,4.158327526132404,0.15142857142857144,70.35191637630662,401.6184386014849,373.21344689725345,1.0029692832764496
6,93.44716312056737,3.4779310344827588,7.421689655172414,38.90889655172414,37.602816901408445,12.482862068965519,36.033494809688584,15.24751724137931,0.43037931034482757,4.802837370242215,0.23696551724137932,70.72793103448275,400.6366721083356,376.72536583175975,0.7727303754266236
7,97.45512367491166,5.368685121107267,8.927328767123289,46.0539446366782,56.445539906103285,18.041862068965518,41.18989655172414,16.898586206896553,0.6648275862068966,6.698413793103448,0.2696551724137931,76.14344827586207,403.1386687212076,377.1146738527941,1.2763822525597248
8,108.35281690140846,6.238379310344827,9.636872852233676,59.29134948096886,79.55258215962442,25.06858620689655,48.23831034482759,19.800482758620692,0.8039655172413793,8.385190311418686,0.3588965517241379,86.41310344827586,401.48177872906456,377.91509534412467,1.5600340136054407
9,127.26140350877193,7.465205479452055,10.05373287671233,70.76731958762888,95.14193548387097,31.876849315068498,54.63054607508533,21.352739726027398,0.9631164383561645,9.629003436426117,0.34201365187713306,98.7349315068493,402.02148396219775,371.87167790758207,1.7577288135593245
10,139.41985815602837,7.7436643835616445,10.460136518771332,79.82625429553264,109.68046511627907,34.00020618556701,57.1938698630137,22.48037671232877,0.9965753424657534,10.7353264604811,0.4974315068493151,110.03013698630137,403.03840092516765,376.0971329222308,1.7301700680272096
