,Inflow,Inflow,Inflow,Treated,Treated,OverflowVolume,OverflowVolume,OverflowVolume,RetentionVolume,RetentionVolume
,mean,max,std,mean,max,sum,max,mean,max,mean
Month,,,,,,,,,,
April,1369.3034419467886,2394.464727449704,488.18840291383333,1369.3034419467886,2200.0,0.0,0.0,0.0,385.268891293516,10.931643907422664
August,1401.4419278559062,2398.0797201512464,475.4637137308914,1401.4419278559062,2200.0,0.0,0.0,0.0,423.72650119957007,14.321166451683773
February,1331.2598273774686,2284.778813232844,462.7709109659135,1331.2598273774686,2200.0,0.0,0.0,0.0,84.77881323284419,0.921479954037477
October,1646.094473422752,2663.07950799567,490.8297215237374,1640.2788781641877,2200.0,0.0,0.0,0.0,1000.0,198.9347819301253
September,1414.0853408111975,2367.748929234445,490.7372703479287,1414.0853408111975,2200.0,0.0,0.0,0.0,289.5849952350118,13.727524154327027
