,Inflow,Inflow,Treated,Treated,OverflowVolume,OverflowVolume,RetentionVolume
,mean,max,mean,max,sum,max,max
Month,,,,,,,
April,1369.3034419467886,2394.464727449704,1369.3034419467886,2200.0,0.0,0.0,385.268891293516
August,1401.4419278559062,2398.0797201512464,1401.4419278559062,2200.0,0.0,0.0,423.72650119957007
February,1331.2598273774686,2284.778813232844,1331.2598273774686,2200.0,0.0,0.0,84.77881323284419
October,1646.094473422752,2663.07950799567,1640.2788781641877,2200.0,0.0,0.0,1000.0
September,1414.0853408111975,2367.748929234445,1414.0853408111975,2200.0,0.0,0.0,289.5849952350118
